000001,平安银行
000002,万科Ａ
000009,中国宝安
000012,南  玻Ａ
000024,招商地产
000039,中集集团
000046,泛海建设
000059,辽通化工
000060,中金岭南
000061,农 产 品
000063,中兴通讯
000069,华侨城Ａ
000100,TCL集团
000157,中联重科
000338,潍柴动力
000401,冀东水泥
000402,金 融 街
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000527,美的电器
000528,柳工
000538,云南白药
000559,万向钱潮
000562,宏源证券
000568,泸州老窖
000581,威孚高科
000596,古井贡酒
000623,吉林敖东
000625,长安汽车
000629,攀钢钒钛
000630,铜陵有色
000651,格力电器
000686,东北证券
000703,恒逸石化
000709,河北钢铁
000718,苏宁环球
000725,京东方A
000728,国元证券
000729,燕京啤酒
000750,国海证券
000758,中色股份
000768,中航飞机
000776,广发证券
000778,新兴铸管
000780,平庄能源
000783,长江证券
000792,盐湖股份
000800,一汽轿车
000807,云铝股份
000825,太钢不锈
000839,中信国安
000858,五 粮 液
000869,张  裕Ａ
000876,新 希 望
000878,云南铜业
000883,湖北能源
000895,双汇发展
000898,*ST鞍钢
000933,神火股份
000937,冀中能源
000960,锡业股份
000961,中南建设
000968,煤气化
000969,安泰科技
000970,中科三环
000983,西山煤电
000999,华润三九
002001,新和成
002007,华兰生物
002024,苏宁云商
002038,双鹭药业
002069,獐子岛
002073,软控股份
002081,金螳螂
002092,中泰化学
002106,莱宝高科
002122,天马股份
002128,露天煤业
002142,宁波银行
002146,荣盛发展
002155,辰州矿业
002202,金风科技
002236,大华股份
002241,歌尔声学
002299,圣农发展
002304,洋河股份
002310,东方园林
002344,海宁皮城
002353,杰瑞股份
002375,亚厦股份
002378,章源钨业
002385,大北农
002399,海普瑞
002405,四维图新
002415,海康威视
002422,科伦药业
002431,棕榈园林
002500,山西证券
002570,贝因美
002594,比亚迪
002603,以岭药业
002673,西部证券
600000,浦发银行
600005,武钢股份
600009,上海机场
600010,包钢股份
600011,华能国际
600015,华夏银行
600016,民生银行
600019,宝钢股份
600022,山东钢铁
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600036,招商银行
600037,歌华有线
600048,保利地产
600050,中国联通
600058,五矿发展
600062,华润双鹤
600066,宇通客车
600068,葛洲坝
600085,同仁堂
600089,特变电工
600096,云天化
600100,同方股份
600104,上汽集团
600108,亚盛集团
600109,国金证券
600111,包钢稀土
600115,东方航空
600118,中国卫星
600123,兰花科创
600125,铁龙物流
600132,重庆啤酒
600143,金发科技
600150,中国船舶
600153,建发股份
600157,永泰能源
600160,巨化股份
600166,福田汽车
600169,太原重工
600170,上海建工
600177,雅戈尔
600188,兖州煤业
600196,复星医药
600208,新湖中宝
600216,浙江医药
600219,南山铝业
600221,海南航空
600252,中恒集团
600256,广汇能源
600259,广晟有色
600266,北京城建
600267,海正药业
600271,航天信息
600276,恒瑞医药
600309,烟台万华
600315,上海家化
600316,洪都航空
600331,宏达股份
600340,华夏幸福
600348,阳泉煤业
600352,浙江龙盛
600362,江西铜业
600369,西南证券
600372,中航电子
600376,首开股份
600383,金地集团
600395,盘江股份
600406,国电南瑞
600415,小商品城
600432,吉恩镍业
600456,宝钛股份
600489,中金黄金
600497,驰宏锌锗
600498,烽火通信
600508,上海能源
600516,方大炭素
600518,康美药业
600519,贵州茅台
600528,中铁二局
600535,天士力
600546,山煤国际
600547,山东黄金
600549,厦门钨业
600550,天威保变
600582,天地科技
600583,海油工程
600585,海螺水泥
600588,用友软件
600598,北大荒
600600,青岛啤酒
600637,百视通
600642,申能股份
600649,城投控股
600655,豫园商城
600660,福耀玻璃
600664,哈药股份
600674,川投能源
600690,青岛海尔
600694,大商股份
600703,三安光电
600718,东软集团
600739,辽宁成大
600741,华域汽车
600770,综艺股份
600779,水井坊
600783,鲁信创投
600795,国电电力
600804,鹏博士
600809,山西汾酒
600811,东方集团
600827,友谊股份
600832,东方明珠
600837,海通证券
600839,四川长虹
600859,王府井
600863,内蒙华电
600873,梅花集团
600875,东方电气
600881,亚泰集团
600886,国投电力
600887,伊利股份
600893,航空动力
600895,张江高科
600900,长江电力
600970,中材国际
600971,恒源煤电
600997,开滦股份
600999,招商证券
601001,大同煤业
601006,大秦铁路
601009,南京银行
601018,宁波港
601088,中国神华
601098,中南传媒
601099,太平洋
601101,昊华能源
601106,中国一重
601111,中国国航
601117,中国化学
601118,海南橡胶
601158,重庆水务
601166,兴业银行
601168,西部矿业
601169,北京银行
601179,中国西电
601186,中国铁建
601216,内蒙君正
601233,桐昆股份
601238,广汽集团
601258,庞大集团
601288,农业银行
601299,中国北车
601318,中国平安
601328,交通银行
601333,广深铁路
601336,新华保险
601369,陕鼓动力
601377,兴业证券
601390,中国中铁
601398,工商银行
601555,东吴证券
601558,华锐风电
601600,中国铝业
601601,中国太保
601607,上海医药
601618,中国中冶
601628,中国人寿
601633,长城汽车
601666,平煤股份
601668,中国建筑
601669,中国水电
601688,华泰证券
601699,潞安环能
601717,郑煤机
601766,中国南车
601788,光大证券
601800,中国交建
601808,中海油服
601818,光大银行
601857,中国石油
601866,中海集运
601888,中国国旅
601898,中煤能源
601899,紫金矿业
601901,方正证券
601918,国投新集
601928,凤凰传媒
601933,永辉超市
601939,建设银行
601958,金钼股份
601988,中国银行
601989,中国重工
601992,金隅股份
601998,中信银行
